OBJECTID,ACTUAL_TEXT,AGREEMENT_CONTACT_INFO,CC_LATITUDE,CC_LONGITUDE,CC_OWNER_ID_SECTION,CC_SIGN_AGE,CC_SIGN_BACKGRD_COLOR_ID,CC_SIGN_BCK_STAMP,CC_SIGN_BORDER_COLOR_ID,CC_SIGN_COMP_CLASS_ID,CC_SIGN_DESCRIPTON,CC_SIGN_DIMENSIONS,CC_SIGN_DIR_ID,CC_SIGN_DIST_ED_OF_PAVE,CC_SIGN_FACI_ID,CC_SIGN_FAC_TYP_SIGN_ID,CC_SIGN_FUNC_LOC_ID,CC_SIGN_GROUND_MOUND_TYP_ID,CC_SIGN_INSPECTION_CMT_ID,CC_SIGN_INSPECTION_COND_ID,CC_SIGN_INSP_DATE,CC_SIGN_INT_LOC_ID,CC_SIGN_ITS_TYP_ID,CC_SIGN_LEGEND_COLOR_ID,CC_SIGN_MATERIAL_ID,CC_SIGN_MIN_LOC_ID,CC_SIGN_MM,CC_SIGN_MSR_ID,CC_SIGN_NOMENCLATURE_ID,CC_SIGN_NO_POST_GRD_MNT_ID,CC_SIGN_PENNDOT_MAT_NUM_ID,CC_SIGN_POST_MSR_ID,CC_SIGN_PTC_MAT_NUM_ID,CC_SIGN_PTC_PENNDOT_NUM_ID,CC_SIGN_RECON_COMM,CC_SIGN_RECON_PROJ,CC_SIGN_REFLECTIVITY_ID,CC_SIGN_SAP_EQIP_NBR,CC_SIGN_SHEETING_ID,CC_SIGN_SIZE,CC_SIGN_STATION,CC_SIGN_STR_MOUNT_TYPE_ID,CC_SIGN_TMP_OBJECTID,CC_SIGN_TMP_PHOTOB,CC_SIGN_TMP_PHOTOF,CC_SIGN_TP_LANE,COMMENT_ID,COMMENT_STR,DATE_UPDATE,EASTING,FABRICATION_AGREEMENT,INSTALL_AGREEMENT,INTERFACE_TRIGGER_DATE,IS_BREAKAWAY,JURISDICTION,LAT,LOAD_DATE,LOC_IDENT,NORTHING,NOTES,ORIGIN,ORIG_KEY,OWNER_ID,OWNER_NET,PERIODIC_MAINT_ID,POSITION_NAME,QA_DATA_FLAG,QA_PHOTO_FLAG,READABLE_TRAVEL_DIR,REPLACED,RETIRED,SIGN_CLASS_CODE_ID,SIGN_CURRENT_CONDITION,SIGN_NAME,SIGN_STATUS_ID,SIGN_SUPPORT_H_ID,SIGN_SUPPORT_ID,SIZE_HEIGHT,SIZE_UNIT_ID,SIZE_WIDTH,SUP_EXT_CD,SYMBOL,TRAVEL_DIRECTION,USER_UPDATE,VARIABLE_SIGN_HEIGHT,VARIABLE_SIGN_WIDTH
10,,,40.309455,-79.676387,1530,,4,,8,3,Exit Gore Sign,"30",4,12.4405002593994,,3,1015,4,11,2,2017/11/16 00:00:00+00,5,4,8,1,2,67.51,22098,7007,3,,22098,,4021,,,1,1013993,1,72 X 60,,8,,,Images/T6/1327828178569365873-STO.jpg,0,91207,,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/12/11 00:00:00+00,38219657,,,,,1520,,,,,,,,,100340,,WB/Gore/N/A/067.51/ExitGoreSign#287057,1185,,,60,,72,,,,LRS_POST,,
74,,,40.252183,-79.642005,1530,,4,0,8,3,Double-Digit Intermediate Reference Location Sign,"4",4,5.64580011367798,,3,1015,5,11,2,2017/10/10 00:00:00+00,5,4,8,3,8,72.4,591,5054,2,,591,,1464,,,3,1011917,1,12 X 48,,8,,,Images/TWBMain/521513019638030118-STO.jpg,0,70930,,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38201135,,,,,1520,,,,,,,,,100327,,WB/Shoulder/N/A/072.40/Double-DigitIntermediateReferenceLocationSign#114563,1185,,,48,,12,,,,LRS_POST,,
75,,,40.206136,-79.568199,1527,,4,0,8,3,Double-Digit Intermediate Reference Location Sign,"4",4,3.44959998130798,,3,1017,5,11,4,2017/10/10 00:00:00+00,5,4,8,3,8,77.7,707,5054,2,,707,,1464,,,3,1011982,1,12 X 48,,8,,,Images/TWBMain/1825463699548107742-STO.jpg,0,71213,,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38203945,,,,,1520,,,,,,,,,100327,,WB/Shoulder/N/A/077.70/Double-DigitIntermediateReferenceLocationSign#114679,1185,,,48,,12,,,,LRS_POST,,
79,,,40.1503,-79.458999,1527,,4,0,8,3,Double-Digit Intermediate Reference Location Sign,"4",4,3.14949989318848,,3,1017,5,11,2,2017/10/10 00:00:00+00,5,4,8,3,8,84.8,604,5054,2,,604,,1464,,,3,1014536,1,12 X 48,,8,,,Images/TWBMain/6419178346348094231-STO.jpg,0,70939,"84.8",2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38201144,,,,,1520,,,,,,,,,100327,,WB/Shoulder/N/A/084.80/Double-DigitIntermediateReferenceLocationSign#114576,1185,,,48,,12,,,,LRS_POST,,
80,,,40.212668,-79.586677,1527,,4,0,8,3,Double-Digit Intermediate Reference Location Sign,"4",4,7.66860008239746,,3,1017,5,11,2,2017/10/10 00:00:00+00,5,4,8,3,8,76.6,717,5054,2,,717,,1464,,,3,1011992,1,12 X 48,,8,,,Images/TWBMain/3238137259767165460-STO.jpg,0,71221,,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38203953,,,,,1520,,,,,,,,,100327,,WB/Shoulder/N/A/076.60/Double-DigitIntermediateReferenceLocationSign#114689,1185,,,48,,12,,,,LRS_POST,,
84,,,40.310801,-79.678006,1530,,9,0,11,1,Right Clearance Marker,"3",1,433.269897460938,,3,1014,5,11,2,2017/10/12 00:00:00+00,5,4,1,3,8,67.38,2811,5765,2,,2811,,2369,,,3,1012942,1,12 X 36,,8,,,Images/TEBMain/3314413231968298906-STO.jpg,0,72703, ,2021/09/29 00:00:00+00,,,,2021/09/29 00:00:00+00,,,,2017/10/30 00:00:00+00,38195793,,,,,1520,,,,,,,,,100332,,EB/Shoulder/N/A/067.38/RightClearanceMarker#116740,1201,,,36,,12,,,,EHALIN,,
92,,,40.159679,-79.480931,1527,,9,0,1,1,Falling Rock Sign,"16",4,4.09340000152588,,3,1017,6,11,2,2017/10/10 00:00:00+00,5,4,1,3,8,83.45,725,7004,3,,725,,4011,,,1,1014591,1,48 X 48,,8,,,Images/TWBMain/4188086895250166638-STO.jpg,0,71268, ,2020/09/21 00:00:00+00,,,,2020/09/21 00:00:00+00,,,,2017/10/30 00:00:00+00,38203960,,,,,1520,,,,,,,,,100345,,WB/Shoulder/N/A/083.45/FallingRockSign#114697,1201,,,48,,48,,,,EHALIN,,
94,,,40.262152,-79.649093,1530,,4,0,8,3,Double-Digit Intermediate Reference Location Sign,"4",4,5.94019985198975,,3,1015,5,11,2,2017/10/10 00:00:00+00,5,4,8,3,8,71.5,623,5054,2,,623,,1464,,,3,1011935,1,12 X 48,,8,,,Images/TWBMain/1144065592101308514-STO.jpg,0,70993,,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38202600,,,,,1520,,,,,,,,,100327,,WB/Shoulder/N/A/071.50/Double-DigitIntermediateReferenceLocationSign#114595,1185,,,48,,12,,,,LRS_POST,,
96,,,40.260236,-79.644199,1530,,4,0,8,3,Double-Digit Intermediate Reference Location Sign,"4",4,4.14330005645752,,3,1015,5,11,2,2017/10/10 00:00:00+00,5,4,8,3,8,71.8,620,5054,2,,620,,1464,,,3,1011932,1,12 X 48,,8,,,Images/TWBMain/3580730359325090553-STO.jpg,0,70991,,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38202533,,,,,1520,,,,,,,,,100327,,WB/Shoulder/N/A/071.80/Double-DigitIntermediateReferenceLocationSign#114592,1185,,,48,,12,,,,LRS_POST,,
97,,,40.16308,-79.485284,1527,,9,0,1,1,Left Curve Sign,"16",4,5.35570001602173,,3,1017,6,11,2,2017/10/10 00:00:00+00,5,4,1,3,8,83.11,734,6132,3,,734,,2945,,,1,1014596,1,48 X 48,,8,,,Images/TWBMain/4691352750066366415-STO.jpg,0,71276, ,2021/11/02 00:00:00+00,,,,2022/08/10 00:00:00+00,,,,2017/10/30 00:00:00+00,38203968,,,,,1520,,,,,,,,,100345,,WB/Shoulder/N/A/083.11/LeftCurveSign#114706,1185,,,48,,48,,,,LRS_POST,,
