OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude
0,1496538.973,303924.3651,1559.732914,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-995b17e9-cf2b-485f-950f-fa8c2d6baa68,WEST 76 MILE 86.0,D10-1,75.30204851,14.61089333,,-130.4567307,-79.43857324,40.15524868
1,1470724.591,315406.1452,1142.893192,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-37d5325f-a2a0-4f52-86c0-6bb6c0e720ea,Hecla Road,D3-1,8.196756472,2.393499705,,-54.86211889,-79.53173573,40.18536892
2,1470391.814,316349.8509,1111.322881,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a6dc78f0-d216-49fd-b3f9-f6a5e8fbbd6f,SPEED LIMIT 70,R2-1,3.860722008,5.395835782,,155.3220081,-79.53299474,40.18794051
3,1446053.487,334204.8412,1073.072908,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-22138512-ab15-48bb-8f43-1b1d742c24bc,,D1-1,8.399006673,0.596452006,,-82.2335786,-79.62144333,40.23556117
4,1432478.321,358387.4952,1122.383228,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-c5dc3bee-37bb-459a-abd7-24f691eaa135,DIRECTIONS AT EXIT,D9-18b,2.046887851,0.751642987,,-16.16012105,-79.67194039,40.30112853
5,1429289.255,367215.3014,1083.692063,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-7c3bc282-c992-4159-a656-d7a3ab7c9436,MILE 66.3,D10-1,34.42437003,4.628030152,,86.91804359,-79.68406445,40.32516441
6,1485007.997,305662.4915,1289.171922,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-da7be8f6-b8df-46e7-b24e-62d874deb9b7,"MILE
88
5",D10-1,24.43548851,5.147756975,,137.9899903,-79.47993992,40.1594065
7,1507276.69,291575.4352,1817.949696,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-9ed0a963-7701-4ae8-a6c5-6a080c693e49,"MILE
89.3",D10-1,18.33284709,11.83023114,,93.70555056,-79.39934002,40.12191272
8,1449362.592,330694.0355,1008.637393,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-619130bb-19b8-4291-9a05-1040d7051641,WEST,M3-4,1.194577455,0.388314562,,-126.9078272,-79.60932864,40.22611775
9,1449329.45,330725.7994,1010.74178,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-8979a712-7c23-4f4b-8593-80f1948d314b,STOP,R1-1,0.279697952,0.111219053,,-48.79282761,-79.6094497,40.22620301
10,1430762.388,362333.6329,1099.14476,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a25bde99-8d2d-436e-8baa-7995764d28d1,,W1-13,0.807681068,1.150403912,,-95.17903409,-79.67839994,40.31185563
11,1485225.429,305304.34,1291.353204,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-adab1fe3-11af-4ccf-b87b-e8c058e819d8,NO PARKING,R8-3,2.680856291,1.963740125,,34.18444277,-79.47913706,40.15843522
12,1490291.247,302386.3696,1388.804657,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-e47a2b50-18b3-44aa-ac66-aa94b7badca4,MILE 84.7,D10-1,9.749657738,6.003641198,,77.61018295,-79.46081409,40.15069745
13,1433234.066,350911.8794,1037.127518,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-eea5e2ce-60a2-4c74-bacd-94f32514357d,30 Irwin McKeesport 2 MILES,D1-1,1.224226698,13.57075525,,55.02666835,-79.66864921,40.28065749
14,1430964.146,380449.5871,1141.384287,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-6c4ed709-37ea-4f00-9e1b-6f4b529ae851,ONE WAY,R6-1,4.386196913,1.860513222,,114.9026698,-79.67909556,40.36158489
15,1446437.434,333390.6018,1056.095887,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-03fdabc2-5b79-4fc8-adbd-94f6a34b418a,,OM3,0.622992299,2.447863022,,-151.0227892,-79.62000666,40.23334885
16,1429119.414,367516.901,1085.657379,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-db45045a-29a3-48b7-bcc9-d9f615bd2b08,"Irwin
Greensburg
1 MILE",D1-1,9.562984499,15.04600481,,145.9592983,-79.68469714,40.32598191
17,1431027.623,380509.866,1149.784915,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-c76d2bbe-ac5f-4398-9a73-c2162bc71b0d,,R2-1,0.594910413,1.651706914,,-157.0632453,-79.67887255,40.36175413
18,1430788.218,362247.3572,1101.169899,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-bad0645b-6d21-4678-9b1e-3d056da57e3a,,W1-8R,2.122969078,0.561585754,,-93.41075949,-79.67830059,40.3116204
19,1483001.633,307810.7405,1216.282615,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-560c04ea-4013-4f75-8d25-5b7692f9dbfd,,W1-8R,0.515415713,3.578815677,,-34.2903787,-79.48726806,40.1651944
20,1430760.446,361972.1773,1109.973372,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-49729ed1-cd24-4389-85d8-3d4089a612f2,,W1-8R,1.629147148,0.865310851,,18.55431803,-79.6783786,40.31086353
21,1450573.444,329544.2476,983.4511803,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-02a6933d-dcdc-4286-8935-989c28c93a19,25 MPH,W1-1,2.412977752,4.390577298,,-110.9739759,-79.60490668,40.22303209
22,1453989.108,325729.3497,1031.626455,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-4ee09f06-37d8-45bc-afc9-70cef803239f,7.3,D10-1,0.974354867,1.96088251,,-63.65376386,-79.59239235,40.21275844
23,1486562.466,304291.5349,1327.058949,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-382045bc-4870-4484-bb53-a2a32ba0e733,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-10b,15.52143929,5.404645831,,-57.49524727,-79.47428366,40.15572726
24,1432286.386,359292.3004,1141.644507,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-ac1d3d5a-98b1-43ee-b480-a60b6090f544,,M6-3,1.956737767,0.24541875,,-13.97468848,-79.67269899,40.30360021
25,1482976.591,307849.6379,1214.15575,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-b11373dd-52da-400b-a402-0742cb8da9d6,,W1-8L,1.853051901,0.272574937,,-118.306025,-79.48736038,40.1652998
26,1497883.526,303825.6453,1604.363281,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-de66f8a8-dbf1-4e43-a8b0-4f05569fdf3c,,W1-8R,0.781100392,0.403678592,,117.1976694,-79.43375716,40.15504821
27,1454502.056,325599.6671,1036.781843,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-c239b805-2341-4c1f-b926-ef95c4b4948e,SR 119,M1-5,6.477411915,2.075060181,,-108.9221805,-79.59054641,40.21243189
28,1430785.354,363038.8006,1080.427349,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-b1cda02c-2780-48cb-ba09-85b73d83697b,$300 LITTERING FINE,W14-1a,1.858735646,1.198282107,,-165.1449566,-79.67837282,40.31379226
29,1429595.385,366668.3955,1100.515545,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-09dffb8b-1fe5-442c-8c56-7eb3d4fa7266,64,M1-4,35.51315229,0.928746356,,-85.69981862,-79.68292383,40.32368189
30,1451718.339,327773.9753,993.6819577,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-6b218765-67e1-4161-86e3-ff52335a9218,"MILE
75.7",D10-1,1.201587636,3.825958568,,125.9149618,-79.6006747,40.21823955
