OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation
0,1496538.972759277,303924.365109419,1559.73291445151,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-995b17e9-cf2b-485f-950f-fa8c2d6baa68,WEST 76 MILE 86.0,D10-1,75.30204851150515,14.61089333375295,,-130.45673071735234
1,1470724.591127604,315406.1451787982,1142.893192343414,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-37d5325f-a2a0-4f52-86c0-6bb6c0e720ea,Hecla Road,D3-1,8.196756472190224,2.393499705245099,,-54.86211889105643
2,1470391.814023926,316349.850935224,1111.322880990803,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a6dc78f0-d216-49fd-b3f9-f6a5e8fbbd6f,SPEED LIMIT 70,R2-1,3.860722007950149,5.39583578169346,,155.32200811604181
3,1446053.486998372,334204.8411899414,1073.072907910665,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-22138512-ab15-48bb-8f43-1b1d742c24bc,,D1-1,8.399006673494975,0.5964520057042441,,-82.23357860246959
4,1432478.321399414,358387.4952369792,1122.383228167216,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-c5dc3bee-37bb-459a-abd7-24f691eaa135,DIRECTIONS AT EXIT,D9-18b,2.046887851456801,0.751642986983061,,-16.160121045013685
5,1429289.25528125,367215.3014104818,1083.692062700907,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-7c3bc282-c992-4159-a656-d7a3ab7c9436,MILE 66.3,D10-1,34.4243700281779,4.628030151526134,,86.91804358788768
6,1485007.997010579,305662.4914967448,1289.171921925863,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-da7be8f6-b8df-46e7-b24e-62d874deb9b7,"MILE
88
5",D10-1,24.43548850973447,5.147756974796454,,137.9899903338543
7,1507276.689505137,291575.4351985779,1817.949695532242,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-9ed0a963-7701-4ae8-a6c5-6a080c693e49,"MILE
89.3",D10-1,18.33284708897273,11.83023114204407,,93.70555056285895
8,1449362.591887695,330694.0355372722,1008.637393308004,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-619130bb-19b8-4291-9a05-1040d7051641,WEST,M3-4,1.194577455396454,0.3883145619618397,,-126.90782721141048
9,1449329.450344726,330725.799386556,1010.741780362447,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-8979a712-7c23-4f4b-8593-80f1948d314b,STOP,R1-1,0.2796979517241319,0.111219052746892,,-48.792827608758735
10,1430762.387895182,362333.6328704427,1099.144759666443,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a25bde99-8d2d-436e-8baa-7995764d28d1,,W1-13,0.8076810675486923,1.150403911819061,,-95.17903409014004
11,1485225.429113444,305304.3399987386,1291.353203511556,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-adab1fe3-11af-4ccf-b87b-e8c058e819d8,NO PARKING,R8-3,2.680856290956338,1.963740124950807,,34.18444277167225
12,1490291.247240072,302386.36955542,1388.804656669617,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-e47a2b50-18b3-44aa-ac66-aa94b7badca4,MILE 84.7,D10-1,9.749657738208771,6.003641197979451,,77.6101829493749
