OBJECTID,X,Y,Z,Layer,Text,MUTCD
0,3116183.240949991,1210223.63428502,5430.430358166278,Sign Face,,W1-1
1,3111355.272026244,1214660.415897772,5441.187404350023,Sign Face,,
2,3115297.214101846,1213276.047607367,5416.603071919661,Sign Face,,
3,3115479.88026477,1211920.531186367,5452.995614670495,Sign Face,EMERALD,D3-1
4,3115098.213565711,1212234.023504909,5445.788022179157,Sign Face,,W11-2
5,3115582.715486525,1211866.14512619,5448.423154391348,Sign Face,SPEED LIMIT 25,R2-1
6,3116064.335572183,1210753.918596645,5450.413571653744,Sign Face,,D3-1
7,3116130.101222004,1211869.139607489,5437.441884123067,Sign Face,,
8,3115167.386496663,1213205.624231512,5419.834926290096,Sign Face,,
9,3115788.384328084,1211218.587042588,5457.763356030862,Sign Face,,
10,3115479.173796264,1211920.774685716,5451.984891656816,Sign Face,,
11,3116017.839211303,1210731.336835475,5449.266049996198,Sign Face,"RIGHT LANE
ONLY",R3-17
12,3116126.945342284,1210408.278479661,5436.083786403716,Sign Face,,D3-1
13,3115087.593602274,1212717.212596584,5427.754227606833,Sign Face,,
14,3115646.757417276,1211355.088452297,5456.058965013405,Sign Face,"NO PARKING
NO DUMPING",R8-3
15,3115119.542078531,1213383.084794867,5411.108244910618,Sign Face,,OM3
16,3114610.936417826,1213319.798993679,5454.958276712279,Sign Face,East 36 West 36 Keep Left Keep Right,M1-4
17,3111823.570735096,1214528.401604356,5452.535739160558,Sign Face,,
18,3115140.602769754,1212908.488544053,5420.781608856102,Sign Face,,
19,3112889.008344095,1214465.287213894,5436.386180030088,Sign Face,,W1-8L
20,3115620.232007934,1213775.115542751,5404.840057786683,Sign Face,,
21,3115082.370781534,1213049.305659328,5416.134805625657,Sign Face,,
22,3115690.125131916,1211380.668699693,5456.785756941617,Sign Face,,
23,3115076.65135028,1213188.409468329,5416.982813760023,Sign Face,YIELD,R1-2
24,3117113.473342773,1211880.048618618,5427.22573727566,Sign Face,RAILROAD CROSSING,R15-1
25,3117113.57346586,1211880.826775254,5427.822592902561,Sign Face,RAILROAD CROSSING,R15-1
26,3114017.341874979,1213751.106026353,5425.782378489555,Sign Face,,M6-1R
27,3110756.068387786,1214934.167637884,5433.591222138783,Sign Face,CROSSWALK STOP ON RED STOP ON FLASHING RED THEN PROCEED IF CLEAR,R10-23
28,3111576.648177774,1214452.506702012,5457.45411531506,Sign Face,,W1-8L
29,3115696.683594644,1214176.079673,5404.033159566304,Sign Face,,
30,3115696.609103067,1214176.211034491,5401.890919727068,Sign Face,,R2-1
31,3115053.779632649,1213106.668979641,5420.456255754213,Sign Face,,W11-2
32,3112889.053599731,1214406.811325832,5438.905478723825,Sign Face,,
33,3115694.323893717,1214204.609947048,5403.91234854577,Sign Face,,
34,3111272.231339141,1214578.152366075,5443.88871117272,Sign Face,,
35,3115076.122299885,1213089.05772903,5420.706682369292,Sign Face,DO NOT BLOCK INTERSECTION,R10-7
36,3115169.704145893,1212146.573073777,5447.356483697077,Sign Face,RIGHT LANE BICYCLE ONLY,R3-17
37,3114730.564283833,1213411.365962673,5421.361553067744,Sign Face,SPEED LIMIT 35,R2-1
38,3115098.114936807,1212234.428680161,5443.550193449239,Sign Face,,W1-8L
39,3115053.658283467,1213106.77631159,5418.296976217012,Sign Face,,M6-1L
40,3115280.473521606,1211953.806093288,5450.899245285173,Sign Face,,W1-2
41,3112473.052984191,1214495.88082453,5440.804793357433,Sign Face,NO PARKING,R8-3a
42,3113129.129139586,1214349.009065903,5429.06062739569,Sign Face,,
43,3115141.237950622,1213077.989722438,5419.865294874093,Sign Face,COMMERCE,D3-1
44,3110746.260330128,1214915.560763291,5416.679659823954,Sign Face,,
45,3115141.073748758,1213077.920036769,5416.064947870155,Sign Face,,
46,3112639.961375101,1214434.948316392,5434.978715370874,Sign Face,,
47,3115213.091084166,1212662.449272609,5428.397299425185,Sign Face,,
48,3114905.987542602,1213224.324020331,5421.218849508346,Sign Face,NO CENTER STRIPE,W1-8L
49,3115101.425406575,1213154.333176214,5420.535509435714,Sign Face,"NICKEL
INDUSTRIAL",D3-1
50,3115101.77223295,1213154.111303452,5421.478706466735,Sign Face,NICKEL ST,D3-1
51,3115169.974077737,1212146.628341721,5445.260283269466,Sign Face,NO PARKING ANY TIME,R7-1
