OBJECTID,X,Y,Z,Layer,Text,MUTCD,Width,Height,Condition,Orientation
0,677672.6218726131,1303622.406633712,178.9564559690724,Sign Face,,D3-1,0.5359656307015206,0.9390583696953579,,93.38571579088713
1,675216.0038914959,1303765.875845962,189.4013689796571,Sign Face,STOP,R1-1,1.010461233732268,3.203559578873041,,89.40150141946654
2,677222.150380036,1303780.775592914,174.8670141439867,Sign Face,Push Button Wait For Walk Signal,R10-3e,1.138590589126577,1.945318043075521,,-85.2527723388405
3,675471.8955862932,1304059.527436784,194.4279585209547,Sign Face,NO OVERNIGHT PARKING,R7-107,1.717225655796021,2.213575708584522,,-84.5545060153855
4,674842.211017903,1303717.320156428,196.9076368977207,Sign Face,,D3-1,2.581424756938704,0.5749616957712048,,-88.77553965720328
5,673426.5281025884,1303784.411269741,179.3069719554374,Sign Face,25,R2-1,0.6476754024429271,1.436823055030793,,-3.03766954640963
6,682797.0687114726,1304660.793411655,199.0748899414286,Sign Face,Push Button Wait For Walk Signal,R10-3e,0.4506763315263382,0.7018108615099288,,-89.03743145652516
7,676647.3762261338,1303715.109734603,187.981504990936,Sign Face,,M1-4,0.977262443914188,3.033046099770413,,-87.50507612080942
8,676395.0130762456,1303724.383554013,189.3832341491522,Sign Face,,M1-4,0.9819716606240259,1.607545678384035,,-93.92402016728992
9,679085.5080441292,1303681.934483926,188.2443661676746,Sign Face,99W,M1-5,2.447810424907314,2.138406976940125,,89.73608466064537
10,673019.1440661814,1303651.619355089,185.0500015048033,Sign Face,,R2-1,1.470694841518802,11.76567528191514,,120.68882113133012
11,676329.4915957153,1304035.082035695,189.9327326546319,Sign Face,DO NOT ENTER,R5-1,1.033748306940234,0.9823915135516268,,83.7316349616092
12,674489.0523524487,1304105.212591657,198.4314445034541,Sign Face,"240 WEST
CHEHALEM VLY.
YAMHILL",D1-1,8.525014549415568,5.414075660580412,,-88.1981498098285
13,675630.0841733918,1303688.706322497,191.7444291302041,Sign Face,,D3-1,1.255187579965967,4.692010366384751,,92.20172817792357
14,680815.5863934053,1305025.977084222,220.3795267440018,Sign Face,,D3-1,0.7564978786497291,1.723111223360998,,109.38255455182707
15,675410.5386337962,1304071.014181102,196.9984893948516,Sign Face,,D1-1,1.758408593380545,2.557068984965327,,-80.2770577664239
16,677986.8367842867,1303714.101593218,178.4937534031408,Sign Face,TRUCKS OVER 30 TONS NEXT LEFT,W12-2,1.280952606770623,0.7347301078906522,,-115.21709022601118
17,679772.1895963253,1304403.931221829,210.8188603718578,Sign Face,,DMS,7.046328129105054,3.154215615565382,,64.11648939427809
18,673259.8070089025,1303779.62707868,173.7135907395434,Sign Face,FOR SALE,D1-1,4.093174546409466,3.176826074367433,,-86.37434489642789
19,682265.1825681512,1305374.231510793,213.9134521784248,Sign Face,INTERSTATE,M1-4,1.425883314740939,1.923523432626499,,91.04907884638935
20,682930.25911681,1305830.265853241,217.0837497059883,Sign Face,"Medley
Hialeah 2
Miami 10",D1-2,5.710688162976362,3.979723128121043,,2.547640154906295
21,682921.5531966883,1305831.09747727,225.1982102781585,Sign Face,Portland Rd,D3-1,9.126771153427484,2.338031301973999,,-176.8642096280376
22,677147.9538173565,1303625.946842985,177.1432122758183,Sign Face,CENTER,D3-1,1.016544407903366,0.5832451867462768,,-160.06652952715714
23,674842.1120960946,1303717.11620529,194.7583966592607,Sign Face,DO NOT ENTER,R5-1a,3.171358208643795,5.081172377418658,,-95.98682999268345
24,676125.609343265,1303628.674952269,186.3948105738986,Sign Face,,R2-1,1.049559377622729,3.098045473336547,,4.628806242295089
