OBJECTID,X,Y,Z,Layer,Text,MUTCD,Longitude,Latitude
0,3116183.240949991,1210223.63428502,5430.430358166278,Sign Face,,W1-1,-105.08583423601456,39.90969802553273
1,3111355.272026244,1214660.415897772,5441.187404350023,Sign Face,,,-105.10297375466243,39.921938403241214
2,3115297.214101846,1213276.047607367,5416.603071919661,Sign Face,,,-105.08894222686577,39.91808875948575
3,3115479.88026477,1211920.531186367,5452.995614670495,Sign Face,EMERALD,D3-1,-105.08831343092224,39.91436530047351
4,3115098.213565711,1212234.023504909,5445.788022179157,Sign Face,,W11-2,-105.08966888435968,39.9152307488629
5,3115582.715486525,1211866.14512619,5448.423154391348,Sign Face,SPEED LIMIT 25,R2-1,-105.08794772886473,39.9142146898698
6,3116064.335572183,1210753.918596645,5450.413571653744,Sign Face,,D3-1,-105.08624927927325,39.911155274122486
7,3116130.101222004,1211869.139607489,5437.441884123067,Sign Face,,,-105.08599627768689,39.91421591108897
8,3115167.386496663,1213205.624231512,5419.834926290096,Sign Face,,,-105.08940624433284,39.91789708605499
9,3115788.384328084,1211218.587042588,5457.763356030862,Sign Face,,,-105.08722527624343,39.91243440206394
10,3115479.173796264,1211920.774685716,5451.984891656816,Sign Face,,,-105.08831594542102,39.91436597792635
11,3116017.839211303,1210731.336835475,5449.266049996198,Sign Face,"RIGHT LANE
ONLY",R3-17,-105.08641540438555,39.911093878620555
12,3116126.945342284,1210408.278479661,5436.083786403716,Sign Face,,D3-1,-105.08603184085176,39.91020562834721
13,3115087.593602274,1212717.212596584,5427.754227606833,Sign Face,,,-105.08969877410101,39.916557323524124
14,3115646.757417276,1211355.088452297,5456.058965013405,Sign Face,"NO PARKING
NO DUMPING",R8-3,-105.08772789322867,39.91281093139327
15,3115119.542078531,1213383.084794867,5411.108244910618,Sign Face,,OM3,-105.08957388809192,39.91838485472818
16,3114610.936417826,1213319.798993679,5454.958276712279,Sign Face,East 36 West 36 Keep Left Keep Right,M1-4,-105.09138819143301,39.91821757204943
17,3111823.570735096,1214528.401604356,5452.535739160558,Sign Face,,,-105.1013062204772,39.92157023249884
18,3115140.602769754,1212908.488544053,5420.781608856102,Sign Face,,,-105.08950663596165,39.91708173640367
19,3112889.008344095,1214465.287213894,5436.386180030088,Sign Face,,W1-8L,-105.09750860139587,39.921383759209434
20,3115620.232007934,1213775.115542751,5404.840057786683,Sign Face,,,-105.08778234842029,39.919454672736386
21,3115082.370781534,1213049.305659328,5416.134805625657,Sign Face,,,-105.08971191585623,39.917469044152575
22,3115690.125131916,1211380.668699693,5456.785756941617,Sign Face,,,-105.08757286864397,39.91288060010554
23,3115076.65135028,1213188.409468329,5416.982813760023,Sign Face,YIELD,R1-2,-105.08973001181762,39.917850981378415
24,3117113.473342773,1211880.048618618,5427.22573727566,Sign Face,RAILROAD CROSSING,R15-1,-105.08249042531075,39.91423320127103
25,3117113.57346586,1211880.826775254,5427.822592902561,Sign Face,RAILROAD CROSSING,R15-1,-105.08249005531577,39.914235336154356
26,3114017.341874979,1213751.106026353,5425.782378489555,Sign Face,,M6-1R,-105.09349740056179,39.91940907575359
27,3110756.068387786,1214934.167637884,5433.591222138783,Sign Face,CROSSWALK STOP ON RED STOP ON FLASHING RED THEN PROCEED IF CLEAR,R10-23,-105.10510578131452,39.92269724564821
28,3111576.648177774,1214452.506702012,5457.45411531506,Sign Face,,W1-8L,-105.1021877958962,39.92136493182308
29,3115696.683594644,1214176.079673,5404.033159566304,Sign Face,,,-105.08750313169524,39.92055441398635
30,3115696.609103067,1214176.211034491,5401.890919727068,Sign Face,,R2-1,-105.08750339509984,39.92055477554804
31,3115053.779632649,1213106.668979641,5420.456255754213,Sign Face,,W11-2,-105.08981290067175,39.91762687973494
32,3112889.053599731,1214406.811325832,5438.905478723825,Sign Face,,,-105.09750938635644,39.92122323195889
33,3115694.323893717,1214204.609947048,5403.91234854577,Sign Face,,,-105.08751107151961,39.92063276474678
34,3111272.231339141,1214578.152366075,5443.88871117272,Sign Face,,,-105.1032711363129,39.92171359547958
35,3115076.122299885,1213089.05772903,5420.706682369292,Sign Face,DO NOT BLOCK INTERSECTION,R10-7,-105.08973353673476,39.91757824998649
36,3115169.704145893,1212146.573073777,5447.356483697077,Sign Face,RIGHT LANE BICYCLE ONLY,R3-17,-105.08941546389957,39.91498977347863
