OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude,matched,match_idx,match_distance,Source,File2_Lat,File2_Lon
1,1470724.591,315406.1452,1142.893192,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-37d5325f-a2a0-4f52-86c0-6bb6c0e720ea,Hecla Road,D3-1,8.196756472,2.393499705,,-54.86211889,-79.53173573,40.18536892,True,283,0.30112724828690485,File 1,40.185371,-79.531738
2,1470391.814,316349.8509,1111.322881,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a6dc78f0-d216-49fd-b3f9-f6a5e8fbbd6f,SPEED LIMIT 70,R2-1,3.860722008,5.395835782,,155.3220081,-79.53299474,40.18794051,True,1165,1.0938646232479265,File 1,40.18794973,-79.53299923
5,1429289.255,367215.3014,1083.692063,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-7c3bc282-c992-4159-a656-d7a3ab7c9436,MILE 66.3,D10-1,34.42437003,4.628030152,,86.91804359,-79.68406445,40.32516441,True,266,4.599943944034612,File 1,40.325203,-79.684084
12,1490291.247,302386.3696,1388.804657,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-e47a2b50-18b3-44aa-ac66-aa94b7badca4,MILE 84.7,D10-1,9.749657738,6.003641198,,77.61018295,-79.46081409,40.15069745,True,740,3.080696021131647,File 1,40.15067,-79.460819
13,1433234.066,350911.8794,1037.127518,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-eea5e2ce-60a2-4c74-bacd-94f32514357d,30 Irwin McKeesport 2 MILES,D1-1,1.224226698,13.57075525,,55.02666835,-79.66864921,40.28065749,True,653,1.5044955991425213,File 1,40.280652,-79.668633
15,1446437.434,333390.6018,1056.095887,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-03fdabc2-5b79-4fc8-adbd-94f6a34b418a,,OM3,0.622992299,2.447863022,,-151.0227892,-79.62000666,40.23334885,True,1334,3.4453866229293197,File 1,40.23332577,-79.61997958
16,1429119.414,367516.901,1085.657379,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-db45045a-29a3-48b7-bcc9-d9f615bd2b08,"Irwin
Greensburg
1 MILE",D1-1,9.562984499,15.04600481,,145.9592983,-79.68469714,40.32598191,True,285,1.6201421282958461,File 1,40.325969,-79.684706
17,1431027.623,380509.866,1149.784915,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-c76d2bbe-ac5f-4398-9a73-c2162bc71b0d,,R2-1,0.594910413,1.651706914,,-157.0632453,-79.67887255,40.36175413,True,502,0.16311163077674523,File 1,40.361755,-79.678871
19,1483001.633,307810.7405,1216.282615,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-560c04ea-4013-4f75-8d25-5b7692f9dbfd,,W1-8R,0.515415713,3.578815677,,-34.2903787,-79.48726806,40.1651944,True,108,0.7662511586760925,File 1,40.16519,-79.487275
23,1486562.466,304291.5349,1327.058949,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-382045bc-4870-4484-bb53-a2a32ba0e733,NO TRUCKS BUSES TRAILERS LEFT LANE,R3-10b,15.52143929,5.404645831,,-57.49524727,-79.47428366,40.15572726,True,821,3.106521064514156,File 1,40.155755,-79.474288
