OBJECTID,X,Y,Z,Layer,GUID,MUTCD,width,height,content,comments,condition,assembly_id,Longitude,Latitude
0,409669.2049250775,3163324.653277037,174.7634963672608,Sign,b2635dc2-18b1-41cf-935b-9de0fbd25c2e,W9-2T,0.9985187767019976,0.9486127964608412,LANE ENDS MERGE LEFT,,Good,694fa5ee-f595-49fd-9717-1dfeab48474b,-99.92381048944594,28.593733333015585
1,412987.0835989809,3158242.783736271,169.715702583082,Sign,d48b6b57-c311-4bae-8012-df0f5ef18524,W2-1aT,1.302486000619251,1.33788692942669,HIGHWAY INTERSECTION AHEAD,,Good,5da95f9d-120c-425d-88db-124d74d6eda2,-99.88949619818443,28.5480940266103
2,412902.2459393679,3158403.452945938,171.0179186509922,Sign,aa304bc0-6d47-450f-b973-029d004d66e8,D15-10T,1.481077537903515,1.152918682996772,PASSING LANE 2 MILES,,Good,1cc79847-09dc-4eb4-a3d8-4c92d882aedf,-99.89037556940669,28.549538458908632
3,417399.4574649622,3155331.285423211,151.4801308149472,Sign,d69753bb-c485-4546-a1e6-2cdecc8a30f4,D2-2,2.201999129989378,0.8385601308582019,Big Wells 18 Dilley 44,,Good,31a17297-7295-4223-bbd3-d149b750ae67,-99.84418502099172,28.522103983465904
4,416252.4885709657,3155612.792652282,154.8187501551583,Sign,ed97deac-c4f0-4ee7-9f35-97fdc65df95f,M2-1,0.6006660081408282,0.3895902578091993,JCT,,Good,96fd3d01-4ccc-4b2f-a148-f6e78bb58e9c,-99.8559266028861,28.52457141196574
5,416251.5599886461,3155613.173721567,154.7961244015023,Sign,091065ca-b02a-4837-8d3d-e10b49439e0a,M2-1,0.6118744015693659,0.3983854825114945,JCT,,Good,96fd3d01-4ccc-4b2f-a148-f6e78bb58e9c,-99.85593612021079,28.52457479154895
6,416343.36094375,3155380.56089375,154.4676558776856,Sign,0cc00753-bd87-418b-8703-282a11645e0f,D7-10bT,0.9529807567596436,1.222603559494019,El Camino Real Local Tour Route,,Good,46da1fe1-8e92-4031-a2a4-7bb3d91241a8,-99.85498103052113,28.5224812300058
7,434494.0990325816,3160983.637669205,142.2749250791967,Sign,19a27c86-ea60-4916-aab8-afa6ff9a5c44,R19-1T,1.330858167077134,1.575347441493459,STOP FOR SCHOOL BUS LOADING OR UNLOADING,,Good,9fbfb42e-b8a0-4339-9aec-ffb23effd0da,-99.66981005376849,28.57409511325292
8,403376.7037698106,3166854.831328682,179.1369273159653,Sign,e4586108-5f90-4ac7-8d70-2d8066644507,M1-4,0.7791804186938621,0.610309867708883,277,,Good,0405abae-060d-4f7c-a362-4905854c41fe,-99.98845433788713,28.625140155191154
9,402969.2439972872,3166862.678446777,179.9342507952824,Sign,5790bb41-44ed-474a-9db0-651dd86a5047,M2-1,0.5952903032302853,0.3695254185251145,JCT,,Good,3fb9b77e-1c26-40e4-befe-a1d96d4d5714,-99.99262279592983,28.625180515934023
10,415857.5635730295,3154734.018955962,162.1639437526464,Sign,9ea6297c-d326-4c34-8bb5-5f6d1977f40c,M2-1,0.6029270887374876,0.372188383881858,JCT,,Good,cb304a17-113e-4838-ac95-c11479803953,-99.85989813238696,28.516614472117553
11,448975.2207658035,3160855.933080878,142.4981696568429,Sign,153f8db8-5049-43ae-a0c4-5b06aeb0d985,R2-1,0.6779685695351582,0.8424488120824565,SPEED LIMIT 75,,Good,b7e9bf1a-bb14-4b93-8f84-a56b0977e254,-99.52173795759703,28.57359252626398
12,411291.2985271345,3160856.687346166,164.294994042255,Sign,afa40f9d-282a-4199-a698-4e721f462126,I-3,0.826094783188258,0.4723639957246362,Pena Creek,,Good,6f21e85d-5b14-4d5f-94ac-9339bdc539ae,-99.90703195022938,28.5715709423781
13,411453.4522474169,3160609.543250883,169.6678107725456,Sign,bc8f2db6-1abd-4e35-bd0e-9e2affe97763,W8-13aT,1.049343041284156,0.9921785010238214,BRIDGE MAY ICE IN COLD WEATHER,,Good,1d2e0970-da01-42f2-8b68-7387014a7d1f,-99.90535502935421,28.569351436311337
14,409753.0423602907,3163196.956301583,176.4357121372595,Sign,7487c8f5-610d-4bcf-aa71-756aeae7fd8d,W9-1,0.9616348604474384,0.9939235770257558,RIGHT LANE ENDS,,Good,e75109ef-2966-4201-b039-a3a15f4bd407,-99.92294311009651,28.59258666143825
15,403773.9327393676,3166847.279342981,176.9752955911681,Sign,62d68ebc-c302-4a4f-b2ee-eccbe5817b9d,M1-4,0.7920814722354579,0.590667818869524,277,,Good,13725df8-34b1-433f-88e2-2ee2c1bdf524,-99.98439055202354,28.625101569721327
16,424944.07188125,3146823.180034375,140.4799792572022,Sign,621bba91-0568-42a6-9660-95cfc1d7e9fa,W20-7a,1.090790152549744,0.4002650380134583,,,Remove,d9e7aeb5-68fe-4079-8d24-b1e77676e3df,-99.76652954393445,28.44576836424581
