OBJECTID,X,Y,Z,Layer,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude
0,1213244.851311055,888284.3290176025,-30.31665319437755,Sign Face,STOP,R1-1,0.8357880333065988,0.608171833542486,,1.3771074382004542,-122.23650006234173,47.756098243225296
1,1220903.12069994,889391.3263185262,-24.50126119633489,Sign Face,ONE WAY,R6-1,0.6378273827582599,0.8887200004110735,,123.33110553257144,-122.20547543657625,47.75958979879035
2,1199380.354819559,880673.7713837575,161.9556103191776,Sign Face,,R2-1,1.353901936213176,1.626934662709634,,179.58365904448527,-122.29213884919332,47.73439260692479
3,1199397.378948384,880673.7817965586,161.7532865899804,Sign Face,STOP,R1-1,1.541200944582621,1.724212064395348,,179.80356155133973,-122.29206969688188,47.734393695591365
4,1220351.881627318,889314.7610921111,-31.50276350229952,Sign Face,STOP,R1-1,1.969525166551272,0.2900506692007184,,91.48711300850768,-122.20770898656191,47.75934729209268
5,1200995.474787414,884726.7791994109,33.88634176830478,Sign Face,BRIDGE ICES BEFORE ROAD,W8-13,1.358886775324742,0.7082071667412918,,-17.34471217336697,-122.28595093893503,47.745599655362405
6,1179136.885858784,903883.2362285248,174.185670496027,Sign Face,"SHOULDER
FERRY
HOLDING
AREA
ONLY",R3-108,2.803128873904547,4.378726010123889,,-27.40249362512332,-122.37661069768828,47.79670255163415
7,1180164.23524355,902930.4136642345,230.160971930226,Sign Face,LEFT TURN YIELD ON GREEN,R10-12a,2.17892399986585,1.456740275869767,,-112.64289531058904,-122.37234073723093,47.79415854508739
8,1209626.787399108,889190.5320195531,-32.6249874307391,Sign Face,JUNIPER BLVD N,D1-1,3.059330948491892,2.167102435628574,,96.0677262781342,-122.2512848519734,47.75836231963179
9,1194033.355819721,863608.5976998789,297.3773552284641,Sign Face,Lake City Wy NE,D3-1,9.336469311118128,1.505378781159719,,96.6002448274842,-122.31226566798979,47.68729274156411
10,1198605.249934712,875481.8846731455,137.8947683233025,Sign Face,CROSSWALK,W11-2a,8.059553424914679,2.013487024108569,,-157.55351434622426,-122.29480740784385,47.72011665959945
11,1209126.113489399,889375.0852523692,-16.6752949347096,Sign Face,ONE WAY,R6-1R,3.037881141404311,4.021213450729848,,2.0944656352234725,-122.25333624017475,47.758837574062746
12,1199694.3232005,882069.9598053884,140.0951734187208,Sign Face,STOP,R1-1,8.250134593248369,4.314204111198585,,29.938385997273254,-122.29099228454525,47.73823819639287
13,1219120.190632649,886181.364211618,9.197893842260314,Sign Face,,R2-1,2.807825663586458,0.460673268015186,,143.73847374404912,-122.21243815659525,47.75068738967588
14,1204255.008335591,888132.1125634081,-10.81156597395711,Sign Face,,W16-2,1.127565385773778,1.190980944136779,,53.43337198597075,-122.27301866652851,47.75513296862569
15,1194078.137272358,863784.9312777597,291.3421107254429,Sign Face,P,R8-3,1.491976562788089,1.435538038760424,,-1.6448070907211472,-122.31210036825709,47.687778786490384
16,1194078.15969993,863784.8768108002,292.6331478780511,Sign Face,15 MPH,W13-1,1.824413764228424,1.932569969594479,,179.22436078366923,-122.31210027215558,47.68777863864124
17,1194078.130864481,863784.8623930755,295.102083094319,Sign Face,SPEED BUMPS AHEAD,W17-1,3.546179852883022,3.52844946205616,,1.0895137788974367,-122.31210038783956,47.68777859731516
18,1222416.610227146,889222.8980090856,-28.98900990674866,Sign Face,YIELD,R1-2,2.741214086314043,2.59747018545866,,142.4091239558114,-122.1993097080001,47.75921777054417
