OBJECTID,X,Y,Z,Layer,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude,matched,match_idx,match_distance,Source,File2_Lat,File2_Lon
0,1213244.851311055,888284.3290176025,-30.31665319437755,Sign Face,STOP,R1-1,0.8357880333065988,0.608171833542486,,1.3771074382004542,-122.23650006234172,47.756098243225296,True,2622,0.12831156502828797,File 1,47.75609775650558,-122.23649850606944
1,1220903.12069994,889391.3263185262,-24.50126119633489,Sign Face,ONE WAY,R6-1,0.6378273827582599,0.8887200004110735,,123.33110553257144,-122.20547543657624,47.75958979879035,True,3066,4.927716965669602,File 1,47.75954549452335,-122.2054769549424
2,1199380.354819559,880673.7713837575,161.9556103191776,Sign Face,,R2-1,1.353901936213176,1.626934662709634,,179.58365904448527,-122.29213884919332,47.73439260692479,True,2013,9.952846876677377,File 1,47.73434529678062,-122.29225182385808
5,1200995.474787414,884726.7791994109,33.88634176830478,Sign Face,BRIDGE ICES BEFORE ROAD,W8-13,1.358886775324742,0.7082071667412918,,-17.34471217336697,-122.28595093893504,47.745599655362405,True,2478,9.48937717549004,File 1,47.745684989992746,-122.28594951270205
6,1179136.885858784,903883.2362285248,174.185670496027,Sign Face,"SHOULDER
FERRY
HOLDING
AREA
ONLY",R3-108,2.803128873904547,4.378726010123889,,-27.40249362512332,-122.37661069768828,47.79670255163415,True,80,0.09082266924434737,File 1,47.796702074628826,-122.37661168468736
7,1180164.23524355,902930.4136642345,230.160971930226,Sign Face,LEFT TURN YIELD ON GREEN,R10-12a,2.17892399986585,1.456740275869767,,-112.64289531058904,-122.37234073723091,47.79415854508739,True,3017,0.01173959058145464,File 1,47.7941586171988,-122.37234062244494
8,1209626.787399108,889190.5320195531,-32.6249874307391,Sign Face,JUNIPER BLVD N,D1-1,3.059330948491892,2.167102435628574,,96.0677262781342,-122.2512848519734,47.75836231963179,True,1173,0.022419772418578895,File 1,47.75836212106928,-122.25128490405612
9,1194033.355819721,863608.5976998789,297.3773552284641,Sign Face,Lake City Wy NE,D3-1,9.336469311118128,1.505378781159719,,96.6002448274842,-122.3122656679898,47.68729274156411,True,1895,0.6161546687023446,File 1,47.687298253835394,-122.31226482780332
10,1198605.249934712,875481.8846731455,137.8947683233025,Sign Face,CROSSWALK,W11-2a,8.059553424914679,2.013487024108569,,-157.55351434622426,-122.29480740784383,47.72011665959945,True,867,0.01019321203282021,File 1,47.72011674799868,-122.2948073717716
14,1204255.008335591,888132.1125634081,-10.81156597395711,Sign Face,,W16-2,1.127565385773778,1.190980944136779,,53.43337198597075,-122.27301866652851,47.75513296862569,True,1639,0.009445971974228615,File 1,47.75513289486186,-122.27301872920113
