OBJECTID,X,Y,Z,Layer,URL,Text,MUTCD,Width,Height,Condition,Orientation,Longitude,Latitude,matched,match_idx,match_distance,Source,ACTUAL_TEXT,AGREEMENT_CONTACT_INFO,CC_LATITUDE,CC_LONGITUDE,CC_OWNER_ID_SECTION,CC_SIGN_AGE,CC_SIGN_BACKGRD_COLOR_ID,CC_SIGN_BCK_STAMP,CC_SIGN_BORDER_COLOR_ID,CC_SIGN_COMP_CLASS_ID,CC_SIGN_DESCRIPTON,CC_SIGN_DIMENSIONS,CC_SIGN_DIR_ID,CC_SIGN_DIST_ED_OF_PAVE,CC_SIGN_FACI_ID,CC_SIGN_FAC_TYP_SIGN_ID,CC_SIGN_FUNC_LOC_ID,CC_SIGN_GROUND_MOUND_TYP_ID,CC_SIGN_INSPECTION_CMT_ID,CC_SIGN_INSPECTION_COND_ID,CC_SIGN_INSP_DATE,CC_SIGN_INT_LOC_ID,CC_SIGN_ITS_TYP_ID,CC_SIGN_LEGEND_COLOR_ID,CC_SIGN_MATERIAL_ID,CC_SIGN_MIN_LOC_ID,CC_SIGN_MM,CC_SIGN_MSR_ID,CC_SIGN_NOMENCLATURE_ID,CC_SIGN_NO_POST_GRD_MNT_ID,CC_SIGN_PENNDOT_MAT_NUM_ID,CC_SIGN_POST_MSR_ID,CC_SIGN_PTC_MAT_NUM_ID,CC_SIGN_PTC_PENNDOT_NUM_ID,CC_SIGN_RECON_COMM,CC_SIGN_RECON_PROJ,CC_SIGN_REFLECTIVITY_ID,CC_SIGN_SAP_EQIP_NBR,CC_SIGN_SHEETING_ID,CC_SIGN_SIZE,CC_SIGN_STATION,CC_SIGN_STR_MOUNT_TYPE_ID,CC_SIGN_TMP_OBJECTID,CC_SIGN_TMP_PHOTOB,CC_SIGN_TMP_PHOTOF,CC_SIGN_TP_LANE,COMMENT_ID,COMMENT_STR,DATE_UPDATE,EASTING,FABRICATION_AGREEMENT,INSTALL_AGREEMENT,INTERFACE_TRIGGER_DATE,IS_BREAKAWAY,JURISDICTION,LAT,LOAD_DATE,LOC_IDENT,NORTHING,NOTES,ORIGIN,ORIG_KEY,OWNER_ID,OWNER_NET,PERIODIC_MAINT_ID,POSITION_NAME,QA_DATA_FLAG,QA_PHOTO_FLAG,READABLE_TRAVEL_DIR,REPLACED,RETIRED,SIGN_CLASS_CODE_ID,SIGN_CURRENT_CONDITION,SIGN_NAME,SIGN_STATUS_ID,SIGN_SUPPORT_H_ID,SIGN_SUPPORT_ID,SIZE_HEIGHT,SIZE_UNIT_ID,SIZE_WIDTH,SUP_EXT_CD,SYMBOL,TRAVEL_DIRECTION,USER_UPDATE,VARIABLE_SIGN_HEIGHT,VARIABLE_SIGN_WIDTH
4,1432478.321,358387.4952,1122.383228,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-c5dc3bee-37bb-459a-abd7-24f691eaa135,DIRECTIONS AT EXIT,D9-18b,2.046887851,0.751642987,,-16.16012105,-79.67194039,40.30112853,False,-1,,File 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1485007.997,305662.4915,1289.171922,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-da7be8f6-b8df-46e7-b24e-62d874deb9b7,"MILE
88
5",D10-1,24.43548851,5.147756975,,137.9899903,-79.47993992,40.1594065,False,-1,,File 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1449329.45,330725.7994,1010.74178,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-8979a712-7c23-4f4b-8593-80f1948d314b,STOP,R1-1,0.279697952,0.111219053,,-48.79282761,-79.6094497,40.22620301,False,-1,,File 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1430762.388,362333.6329,1099.14476,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-a25bde99-8d2d-436e-8baa-7995764d28d1,,W1-13,0.807681068,1.150403912,,-95.17903409,-79.67839994,40.31185563,False,-1,,File 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1485225.429,305304.34,1291.353204,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-adab1fe3-11af-4ccf-b87b-e8c058e819d8,NO PARKING,R8-3,2.680856291,1.963740125,,34.18444277,-79.47913706,40.15843522,False,-1,,File 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1430964.146,380449.5871,1141.384287,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-6c4ed709-37ea-4f00-9e1b-6f4b529ae851,ONE WAY,R6-1,4.386196913,1.860513222,,114.9026698,-79.67909556,40.36158489,False,-1,,File 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1430788.218,362247.3572,1101.169899,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-bad0645b-6d21-4678-9b1e-3d056da57e3a,,W1-8R,2.122969078,0.561585754,,-93.41075949,-79.67830059,40.3116204,False,-1,,File 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1430760.446,361972.1773,1109.973372,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-49729ed1-cd24-4389-85d8-3d4089a612f2,,W1-8R,1.629147148,0.865310851,,18.55431803,-79.6783786,40.31086353,False,-1,,File 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1450573.444,329544.2476,983.4511803,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-02a6933d-dcdc-4286-8935-989c28c93a19,25 MPH,W1-1,2.412977752,4.390577298,,-110.9739759,-79.60490668,40.22303209,False,-1,,File 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1453989.108,325729.3497,1031.626455,Sign Face,https://cloud.mach9.io/files/92b5f3e7-513f-46f0-ae0d-b0557928ae00/view#object-4ee09f06-37d8-45bc-afc9-70cef803239f,7.3,D10-1,0.974354867,1.96088251,,-63.65376386,-79.59239235,40.21275844,False,-1,,File 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
